Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"Albumin","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.002638959,0.011093102,0.773007691,0.894656727,-0.002646499,8.48983e-4,0.001825557,0.002893351
"Albumin","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.002474277,0.014945587,0.841682649,0.92988048,-0.005862792,0.001578827,2.04535e-4,3.78328e-4
"BirthWeight","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.00660521,0.014945587,0.67289359,0.840168531,-0.006247302,0.002054963,0.002365216,0.003685482
"BirthWeight","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.03016903,0.011093102,0.008405858,0.054847574,1.43273e-4,0.001069916,0.893473724,0.904913613
"BMD","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.013555867,0.011093102,0.221705502,0.470646926,-0.002258416,0.001017515,0.026450781,0.034958895
"BMD","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.022427666,0.014945587,0.133454811,0.346813696,-0.002379589,0.001893551,0.208870395,0.241526804
"BMI","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",2.40502e-4,0.011093102,0.977661612,0.990630516,0.004182656,7.98902e-4,1.65e-7,4.55e-7
"BMI","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.050856748,0.014945587,1.35e-5,3.53008e-4,0.009667883,0.001485116,7.53e-11,2.98e-10
"Calcium","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.001287344,0.011093102,0.889642649,0.952274634,8.3134e-4,8.60681e-4,0.334090456,0.371960412
"Calcium","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.013299388,0.014945587,0.289712224,0.546160186,-0.004870211,0.001600846,0.00234815,0.003660431
"Cholesterol","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.002740439,0.014945587,0.81754155,0.917532216,-0.007890951,0.001512626,1.82e-7,5.01e-7
"Cholesterol","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.002909613,0.011093102,0.73931957,0.878356392,-0.003281978,8.12238e-4,5.33e-5,1.07993e-4
"Depression","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",0.0054131,0.011093102,0.007376074,0.049797756,4.24941e-4,1.87905e-4,0.023730689,0.031578297
"Depression","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.00585806,0.014945587,0.032970201,0.140965,7.9321e-4,3.48849e-4,0.022978837,0.030646736
"EA","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.023993026,0.011093102,0.004898819,0.037187511,-0.007031614,7.94984e-4,9.19e-19,6.96e-18
"EA","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.02806083,0.014945587,0.015881666,0.086654962,-0.017677618,0.001473128,3.59e-33,9.09e-32
"FEV1","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.005390445,0.011093102,0.413382181,0.664434379,-0.005817586,6.15702e-4,3.45e-21,3.09e-20
"FEV1","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.02474037,0.014945587,0.006121525,0.043828457,-0.014482142,0.001140033,5.769999999999999e-37,2.26e-35
"FI","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.026229254,0.014945587,0.07774277,0.247838589,-0.021479904,0.001985992,2.94e-27,4.11e-26
"FI","Brain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.039779646,0.011093102,2.62242e-4,0.004003182,-0.006815764,0.001040435,5.73e-11,2.29e-10
"FVC","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.00564053,0.011093102,0.377272515,0.631378047,-0.00586114,5.96863e-4,9.3e-23,9.34e-22
"FVC","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",-0.027236165,0.014945587,0.001853508,0.017840782,-0.01413904,0.001105223,1.83e-37,7.7e-36
"Gamma","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.010514164,0.011093102,0.205303547,0.451421674,0.002975442,7.71346e-4,1.14585e-4,2.20552e-4
"Gamma","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DEL",0.020331906,0.014945587,0.071416985,0.234079335,0.002167644,0.001435859,0.13113346,0.156593699
"Glucose","NonBrain","adipocytes","SC_HPA81","NonBrain",NA,"Adipocytes","DUP",-0.001585781,0.011093102,0.863314913,0.940248532,9.66727e-4,8.54416e-4,0.257867185,0.29282753
